srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,category
77553,2013-05-27 17:48:05,15,55,,,55,132138,4,0.0,0,0.69,0.0263,4.83,2,286.88,0,21900,1,82,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
138244,2012-11-11 09:38:55,5,219,,,219,68206,4,4.5,1,1.79,0.0066,6.21,1,440.0,0,17713,2,33,2,0,1,1,,103.7,1,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,1,,0,1
329444,2013-04-18 12:31:21,24,216,,,117,96132,4,4.0,1,3.93,0.2042,4.48,9,55.51,0,21507,2,25,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
236273,2013-06-29 11:32:10,5,219,,,219,53391,3,4.5,1,2.56,0.0517,0.0,1,149.0,0,1533,3,46,3,2,2,0,,575.73,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
257828,2013-04-08 21:53:33,24,216,,,99,83883,3,4.5,1,2.2,0.015,4.63,30,80.39,0,16330,5,34,1,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,1,,0,1
63271,2013-03-12 19:48:06,5,219,,,219,2052,2,3.5,1,0.0,0.0016,4.1,9,87.0,0,21808,3,1,2,0,1,0,,191.58,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1,,0,1
139901,2012-11-28 17:53:10,16,31,,,215,133908,3,4.5,0,6.08,0.2427,5.06,21,67.36,1,9371,3,25,2,0,1,0,,909.64,1,,,,,,,,,,,,,,,,,,,1.0,0.0,99.0,,,,1,,0,1
111350,2013-06-12 18:53:26,15,55,,,215,44710,2,0.0,0,0.0,0.0007,0.0,14,129.87,0,26929,4,56,2,1,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
261669,2012-11-28 20:39:29,15,127,,,55,48996,4,4.0,1,2.2,0.4852,4.8,3,102.48,0,22608,1,10,2,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,9.0,0.0,0.0,9.0,,,,1,,0,1
207154,2013-04-29 06:22:36,5,219,,,73,37646,5,4.5,1,5.07,0.1793,5.95,8,269.0,0,18367,1,1,1,1,1,0,,4634.76,1,,,,,,,,,,,,,-1.0,0.0,26.0,-1.0,0.0,26.0,-1.0,0.0,25.0,,,,1,,0,1
85184,2013-05-14 16:54:24,15,55,,,216,99132,5,5.0,1,3.93,0.0139,6.21,2,445.63,0,28172,2,215,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1
171750,2013-04-25 18:20:16,19,39,,,98,77743,3,4.5,0,1.79,0.2521,4.92,18,91.67,1,11870,2,12,1,0,1,0,,,1,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,1,,0,1
282310,2013-03-25 22:04:48,18,129,,,56,138395,4,4.0,0,2.48,0.0038,4.74,31,92.54,0,16822,1,1,1,1,1,0,,218.52,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
185283,2013-02-27 00:00:13,9,59,,,31,30769,3,5.0,0,3.71,0.251,5.0,31,230.0,0,7482,2,70,2,1,1,0,,6499.45,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
139284,2012-12-19 05:36:44,5,219,,,219,88518,2,3.5,0,4.28,,5.29,18,188.0,0,4060,1,4,2,0,1,0,,188.6,0,,,,,,,,,,,1.0,,-1.0,0.0,29.0,,,,,,,-1.0,0.0,29.0,0,,0,0
157042,2013-05-22 14:19:41,5,219,,,219,4046,2,3.0,1,2.08,,4.28,32,79.0,0,8178,1,4,2,0,1,0,-19.1689,133.04,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
72937,2013-01-03 23:56:49,5,117,,,219,58124,3,4.0,1,0.69,0.0029,5.27,22,113.0,0,13524,1,28,2,0,1,1,,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
17947,2013-02-28 09:44:40,5,219,,,212,114425,4,0.0,0,4.19,0.0827,5.16,20,160.0,0,27715,2,6,1,0,1,0,,3488.24,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
78096,2013-05-07 17:13:15,5,219,,,219,92464,2,3.0,1,2.71,0.0894,4.33,16,71.0,0,17859,2,28,5,2,3,0,,634.42,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
113635,2013-03-03 15:13:53,14,100,3.0,80.74,216,75711,3,3.5,0,4.63,0.1585,5.19,10,170.43,1,20497,2,12,4,2,2,1,,6608.75,0,,,,1.0,0.0,31.0,1.0,0.0,184.0,0.0,0.0,,,,,,,,,,,,,,0,,0,0
306302,2013-02-21 06:58:34,5,219,,,219,130961,3,4.0,1,1.79,0.111,4.93,8,85.0,0,2682,3,13,1,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
121347,2013-04-02 08:37:06,5,219,,,219,83840,3,4.5,1,2.71,0.1294,4.95,21,99.0,0,9340,1,11,3,0,1,1,,1763.49,1,,,,,,,-1.0,0.0,4.0,,,,-1.0,0.0,4.0,,,,,,,-1.0,0.0,4.0,0,,0,0
287735,2013-06-11 20:52:52,5,219,,,219,51983,2,3.0,0,1.95,,0.0,1,45.0,0,15164,1,60,2,1,1,1,,,0,,,,1.0,0.0,18.0,,,,,,,1.0,0.0,28.0,,,,,,,,,,0,,0,0
68373,2012-12-12 15:28:53,5,219,,,219,6755,2,3.5,1,1.39,0.0044,4.29,8,46.0,1,15893,4,30,2,0,1,1,,1333.63,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
284486,2013-02-24 22:54:21,24,216,,,158,23535,3,1.5,0,3.89,0.3668,3.76,3,23.47,0,15260,1,6,1,0,1,1,,,0,,,,,,,,1.0,,-1.0,0.0,13.0,0.0,0.0,,,,,,,,,,,0,,0,0
189468,2013-05-06 00:04:31,24,216,,,219,74782,5,5.0,1,3.18,0.272,5.9,1,344.82,1,23753,5,0,1,0,1,0,,,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0,0
105730,2013-02-03 19:19:56,5,219,,,219,13584,2,3.5,1,2.83,0.2286,4.54,2,71.0,0,15913,1,26,2,0,1,1,,95.79,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0,0
263337,2012-11-04 10:08:16,5,219,,,219,79953,3,4.5,1,4.71,0.5915,5.43,15,110.0,0,17759,2,59,2,0,1,0,,80.63,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
197659,2013-06-07 08:45:35,5,219,,,219,108570,3,4.5,1,0.0,,0.0,21,149.0,0,10518,1,0,2,0,1,1,-11.9901,34.73,0,,,,-1.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,-1.0,0.0,6.0,0,,0,0
103736,2013-04-27 08:01:46,15,55,,,31,100164,4,4.5,0,6.34,0.0813,5.59,9,221.26,1,26361,3,112,2,2,1,1,-11.8575,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
166397,2013-05-25 08:06:41,5,18,,,18,4416,3,3.5,0,2.3,0.0405,5.37,36,113.0,1,7267,2,0,2,1,1,1,,,1,,,,0.0,0.0,,1.0,0.0,33.0,,,,1.0,1.0,149.0,,,,,,,,,,0,,0,0
180495,2012-12-22 10:23:18,5,219,,,219,139000,2,3.0,0,2.89,0.0244,4.56,7,55.0,0,9402,2,1,1,0,1,0,,449.14,1,,,,1.0,0.0,3.0,,,,,,,1.0,0.0,25.0,,,,,,,1.0,0.0,25.0,0,,0,0
173636,2013-03-10 19:49:43,5,219,,,219,18969,2,3.0,0,2.08,,4.72,31,104.0,0,23033,1,13,2,1,1,1,,116.28,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0,0
64956,2013-04-17 10:16:00,12,55,,,31,125241,4,4.0,1,4.93,0.2574,4.78,10,186.34,1,13118,3,31,2,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,0
315167,2013-04-30 18:17:32,5,219,,,219,13519,3,3.0,1,3.37,,4.89,38,120.0,0,2964,1,11,2,0,1,1,-14.1635,102.13,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
223325,2013-02-07 17:57:35,14,100,,,100,48512,4,4.5,0,4.69,0.4041,5.55,6,195.41,1,15438,3,5,2,0,1,0,,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
50689,2013-05-30 10:32:53,34,117,,,219,57978,2,2.5,0,3.14,,5.07,4,168.99,0,9908,2,31,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
76726,2012-12-07 07:23:51,5,219,3.29,140.47,219,93101,2,3.0,1,1.79,0.0507,4.35,1,57.0,0,12002,1,2,1,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0,0
166293,2013-01-17 16:35:18,5,117,,,219,72508,4,4.5,1,3.97,0.1189,5.49,21,186.0,1,3509,1,10,3,1,1,0,,,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
49594,2013-05-06 19:21:31,14,100,,,100,37339,3,4.0,1,4.36,0.2016,4.75,9,218.51,0,6948,1,5,3,2,1,1,,208.81,0,,,,0.0,0.0,,,,,,,,0.0,0.0,23.0,,,,,,,0.0,0.0,,0,,0,0
281773,2013-05-31 18:29:10,5,219,,,219,121865,3,5.0,1,1.1,0.0017,4.83,26,109.0,0,24994,1,2,2,0,1,0,,227.45,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
67162,2013-06-09 17:11:29,5,219,,,219,95819,3,4.5,1,0.0,0.0005,0.0,36,105.0,0,15571,2,75,2,0,1,1,,1026.64,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,0
31929,2013-04-25 20:47:00,15,55,4.0,94.56,55,280,3,4.0,0,4.5,0.354,4.14,36,70.99,0,7934,1,4,2,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,0
77862,2012-11-14 10:05:37,4,50,,,68,49086,3,4.0,0,4.49,0.1307,4.66,8,103.55,0,22744,9,40,2,0,1,0,,1602.14,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
330474,2013-05-14 19:41:09,5,219,,,219,1824,3,4.0,1,2.08,,4.71,32,105.0,0,1516,2,3,1,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
178181,2013-04-25 11:32:21,5,219,,,219,138227,4,4.5,1,1.61,0.1416,5.33,16,249.0,0,22918,2,57,4,0,1,1,,131.87,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0,0
224069,2013-03-25 07:57:20,5,219,,,219,121156,3,4.5,1,1.95,0.0307,4.94,20,159.0,0,4748,1,37,2,0,1,0,,1736.72,0,,,,0.0,0.0,,-1.0,0.0,3.0,,,,-1.0,0.0,3.0,,,,,,,-1.0,0.0,3.0,0,,0,0
271138,2013-05-14 12:43:35,31,219,,,219,68356,2,3.5,1,1.61,0.0095,3.97,28,34.0,1,3821,1,52,2,0,1,1,,123.91,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
152489,2013-06-04 06:28:59,5,155,,,55,47241,3,3.5,0,2.89,0.0318,0.0,30,44.0,1,1047,4,11,2,0,1,1,,,0,,,,,,,,,,,,,-1.0,0.0,8.0,,,,,,,,,,0,,0,0
105896,2013-01-09 11:42:08,18,129,,,16,54332,5,4.5,0,3.26,0.1633,5.81,8,178.97,0,1429,14,103,2,0,1,0,,1741.84,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
247216,2013-04-28 21:45:01,5,219,,,178,47060,5,0.0,0,2.56,0.0526,5.91,18,160.0,1,13804,5,40,2,0,1,0,,7551.28,1,,,,,,,,,,,,,-1.0,0.0,8.0,,,,,,,,,,0,,0,0
190262,2013-06-07 15:58:00,5,219,,,219,79899,2,3.0,1,2.48,0.1157,0.0,22,60.0,0,1656,2,20,2,0,1,1,,741.07,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
65429,2013-03-10 22:59:49,5,219,,,219,28930,3,4.0,1,2.4,0.1901,5.09,12,140.0,0,22984,3,4,2,0,1,1,,27.78,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
167930,2012-12-31 01:13:46,5,219,,,219,57724,4,4.5,1,2.56,0.0069,5.51,14,318.0,1,3073,1,0,2,0,1,0,,7.17,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
322205,2012-11-29 10:50:01,16,31,,,99,94209,4,4.0,0,5.57,0.024,5.83,21,311.49,1,13292,2,22,2,2,1,1,,687.03,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0,0
301668,2013-06-07 07:50:22,5,219,,,219,123113,3,5.0,1,2.3,0.084,0.0,4,109.0,0,15056,1,0,2,1,1,1,,111.94,1,,,,,-1.0,,,,,,,,,,,,,,,,,,,,0,,0,0
55372,2013-04-28 11:26:02,14,100,,,100,103486,2,3.5,1,1.1,0.0475,4.95,9,108.19,0,24800,1,5,1,0,1,1,,164.52,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,0
226947,2013-04-11 10:22:57,5,219,,,219,139492,3,4.0,1,1.79,0.1717,4.63,7,79.0,0,11416,1,16,1,1,1,1,,2340.28,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
190156,2012-12-22 07:43:53,5,219,,,219,61744,3,4.5,1,3.4,0.0451,5.09,34,109.0,0,10032,1,0,2,0,1,1,,1539.81,0,,,,0.0,0.0,,0.0,0.0,11.0,,,,,,,,,,,,,0.0,0.0,,0,,0,0
116070,2013-03-07 15:21:00,5,219,,,219,1230,3,3.5,0,5.83,0.201,5.7,26,229.0,0,4562,2,37,2,0,2,1,,110.35,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0,0
181814,2013-03-05 15:18:16,18,23,,,215,134427,4,4.5,0,6.08,0.2928,5.34,12,195.77,0,9371,1,26,2,1,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0,,0,0
124539,2013-02-23 14:10:40,5,219,,,13,119801,4,4.5,1,0.69,0.0075,5.35,24,207.0,0,8214,5,77,2,0,1,0,,4306.82,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
99578,2013-02-10 15:55:08,5,219,,,219,4484,3,4.5,1,2.71,0.162,5.1,16,167.0,0,19901,6,51,2,2,1,0,,932.72,1,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,0,,0,0
324939,2013-04-21 21:49:33,7,100,,,219,17501,4,4.0,1,1.61,,5.16,25,119.81,0,11777,2,4,2,1,1,1,,2462.29,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
323693,2013-05-11 21:25:44,5,219,,,219,129101,2,4.0,1,1.61,0.0381,4.81,13,95.0,0,18478,1,35,2,0,1,1,,221.6,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0,0
90147,2013-01-25 22:44:09,5,219,,,219,114989,2,4.0,0,3.3,0.0227,4.76,29,72.0,0,9265,2,6,3,3,2,1,,57.33,0,,,,,,,,,,,,,0.0,0.0,10.0,,,,,,,,,,0,,0,0
124308,2013-01-04 11:10:54,5,219,,,219,72103,4,4.0,0,1.1,0.0512,5.58,4,359.0,0,24521,1,46,2,0,1,0,,1260.53,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
91013,2013-03-14 13:44:21,24,216,,,98,24757,4,4.5,0,5.12,0.1003,4.73,29,100.95,1,8612,4,40,1,1,1,0,,,0,,,,1.0,0.0,20.0,0.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0,0
133402,2013-06-30 18:05:49,5,219,,,219,83831,4,4.5,1,2.94,0.012,0.0,32,119.0,0,2518,3,40,2,0,1,1,,721.33,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
236378,2012-11-01 06:46:35,5,219,3.5,84.35,219,97410,3,4.5,1,1.79,0.0879,4.74,3,71.0,0,7255,1,36,2,0,1,1,,591.6,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0,0
53112,2012-11-14 12:04:40,32,220,,,220,13573,4,4.5,1,0.69,0.0009,4.94,19,124.51,0,22043,1,2,2,0,1,1,-42.4293,432.76,0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0,0
206493,2013-01-18 19:53:40,14,100,,,212,88799,3,2.0,0,3.78,0.3397,4.87,8,85.71,0,11719,4,19,2,0,1,0,,2422.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
24803,2013-03-04 04:55:46,5,219,,,219,109065,2,4.5,1,2.56,0.6011,4.83,18,130.0,0,24966,1,5,1,1,1,1,-30.4327,758.02,1,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0,0
276499,2012-11-12 17:40:58,5,219,,,215,69517,4,4.0,0,2.2,,4.85,13,89.0,0,5258,1,12,2,0,1,1,,4638.82,0,1.0,0.0,6.0,,,,,,,,,,-1.0,0.0,3.0,,,,-1.0,0.0,3.0,,,,0,,0,0
32636,2013-04-30 06:37:15,5,219,,,219,78215,3,4.0,0,0.0,0.0023,4.87,12,79.0,0,21382,1,1,4,0,2,0,,119.7,1,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0
94232,2013-01-25 14:50:46,11,103,,,4,86333,4,3.0,0,2.4,0.2036,4.99,4,99.63,1,1290,2,108,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
223292,2013-01-05 17:12:49,1,13,,,55,19859,2,2.5,0,5.39,0.0465,4.86,12,106.53,0,10979,4,7,2,1,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,0
